tid,target,gkey,smiles_A,smiles_B,dy,scaffold,n_stereocenters,n_assays,n_docs
100097,Tyrosine-protein kinase BTK,"InChI=1S/C33H36N6O3S/c1-20-24(9-7-10-25(20)36-31(40)28-18-22-8-5-6-11-27(22)43-28)26-19-39(4)33(42)30(35-26)34-23-14-12-21(13-15-23)29-32(41)38(3)17-16-37(29)2/h7,9-10,12-15,18-19,29H,5-6,8,11,16-17H2,1-4H3,(H,34,35)(H,36,40)/t29-",Cc1c(NC(=O)c2cc3c(s2)CCCC3)cccc1-c1cn(C)c(=O)c(Nc2ccc([C@H]3C(=O)N(C)CCN3C)cc2)n1,Cc1c(NC(=O)c2cc3c(s2)CCCC3)cccc1-c1cn(C)c(=O)c(Nc2ccc([C@@H]3C(=O)N(C)CCN3C)cc2)n1,-0.52,O=C(Nc1cccc(-c2c[nH]c(=O)c(Nc3ccc(C4NCCNC4=O)cc3)n2)c1)c1cc2c(s1)CCCC2,1,1,1
100097,Tyrosine-protein kinase BTK,"InChI=1S/C24H22N6O2/c1-2-20(31)29-13-12-17(14-29)30-24-21(23(25)26-15-27-24)22(28-30)16-8-10-19(11-9-16)32-18-6-4-3-5-7-18/h2-11,15,17H,1,12-14H2,(H2,25,26,27)/t17-",C=CC(=O)N1CC[C@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,C=CC(=O)N1CC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,-0.08,c1ccc(Oc2ccc(-c3nn(C4CCNC4)c4ncncc34)cc2)cc1,1,1,1
100097,Tyrosine-protein kinase BTK,"InChI=1S/C25H24N6O2/c1-2-21(32)30-14-6-7-18(15-30)31-25-22(24(26)27-16-28-25)23(29-31)17-10-12-20(13-11-17)33-19-8-4-3-5-9-19/h2-5,8-13,16,18H,1,6-7,14-15H2,(H2,26,27,28)/t18-",C=CC(=O)N1CCC[C@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,-0.29,c1ccc(Oc2ccc(-c3nn(C4CCCNC4)c4ncncc34)cc2)cc1,1,1,1
100097,Tyrosine-protein kinase BTK,"InChI=1S/C33H35FN6O3S/c1-19-9-14-23(27(34)28(19)37-31(41)26-17-21-7-5-6-8-25(21)44-26)24-18-40(4)33(43)30(36-24)35-22-12-10-20(11-13-22)29-32(42)39(3)16-15-38(29)2/h9-14,17-18,29H,5-8,15-16H2,1-4H3,(H,35,36)(H,37,41)/t29-",Cc1ccc(-c2cn(C)c(=O)c(Nc3ccc([C@H]4C(=O)N(C)CCN4C)cc3)n2)c(F)c1NC(=O)c1cc2c(s1)CCCC2,Cc1ccc(-c2cn(C)c(=O)c(Nc3ccc([C@@H]4C(=O)N(C)CCN4C)cc3)n2)c(F)c1NC(=O)c1cc2c(s1)CCCC2,0.0,O=C(Nc1cccc(-c2c[nH]c(=O)c(Nc3ccc(C4NCCNC4=O)cc3)n2)c1)c1cc2c(s1)CCCC2,1,1,1
100097,Tyrosine-protein kinase BTK,"InChI=1S/C32H31FN4O4/c1-16-18(7-6-10-25(16)37-30(39)22-8-5-9-23(33)28(22)36(4)31(37)40)19-13-14-21(29(34)38)27-26(19)20-12-11-17(32(2,3)41)15-24(20)35-27/h5-10,13-14,17,35,41H,11-12,15H2,1-4H3,(H2,34,38)/t17-",Cc1c(-c2ccc(C(N)=O)c3[nH]c4c(c23)CC[C@H](C(C)(C)O)C4)cccc1-n1c(=O)c2cccc(F)c2n(C)c1=O,Cc1c(-c2ccc(C(N)=O)c3[nH]c4c(c23)CC[C@@H](C(C)(C)O)C4)cccc1-n1c(=O)c2cccc(F)c2n(C)c1=O,0.545,O=c1[nH]c2ccccc2c(=O)n1-c1cccc(-c2cccc3[nH]c4c(c23)CCCC4)c1,1,2,1
100097,Tyrosine-protein kinase BTK,"InChI=1S/C32H30ClFN4O4/c1-15-17(7-6-10-24(15)38-30(40)19-8-5-9-22(34)28(19)37(4)31(38)41)25-21(33)14-20(29(35)39)27-26(25)18-12-11-16(32(2,3)42)13-23(18)36-27/h5-10,14,16,36,42H,11-13H2,1-4H3,(H2,35,39)/t16-",Cc1c(-c2c(Cl)cc(C(N)=O)c3[nH]c4c(c23)CC[C@H](C(C)(C)O)C4)cccc1-n1c(=O)c2cccc(F)c2n(C)c1=O,Cc1c(-c2c(Cl)cc(C(N)=O)c3[nH]c4c(c23)CC[C@@H](C(C)(C)O)C4)cccc1-n1c(=O)c2cccc(F)c2n(C)c1=O,0.34,O=c1[nH]c2ccccc2c(=O)n1-c1cccc(-c2cccc3[nH]c4c(c23)CCCC4)c1,1,3,1
100097,Tyrosine-protein kinase BTK,"InChI=1S/C32H30F2N4O4/c1-15-17(7-6-10-24(15)38-30(40)19-8-5-9-21(33)28(19)37(4)31(38)41)25-22(34)14-20(29(35)39)27-26(25)18-12-11-16(32(2,3)42)13-23(18)36-27/h5-10,14,16,36,42H,11-13H2,1-4H3,(H2,35,39)/t16-",Cc1c(-c2c(F)cc(C(N)=O)c3[nH]c4c(c23)CC[C@H](C(C)(C)O)C4)cccc1-n1c(=O)c2cccc(F)c2n(C)c1=O,Cc1c(-c2c(F)cc(C(N)=O)c3[nH]c4c(c23)CC[C@@H](C(C)(C)O)C4)cccc1-n1c(=O)c2cccc(F)c2n(C)c1=O,-0.21,O=c1[nH]c2ccccc2c(=O)n1-c1cccc(-c2cccc3[nH]c4c(c23)CCCC4)c1,1,3,1
100097,Tyrosine-protein kinase BTK,"InChI=1S/C35H40FN7O3/c1-22-19-39(2)10-11-41(22)26-8-9-33(37-18-26)38-29-14-24(20-40(3)34(29)45)27-16-25(36)17-31(28(27)21-44)43-13-12-42-30-7-5-4-6-23(30)15-32(42)35(43)46/h8-9,14-18,20,22,44H,4-7,10-13,19,21H2,1-3H3,(H,37,38)/t22-",C[C@H]1CN(C)CCN1c1ccc(Nc2cc(-c3cc(F)cc(N4CCn5c(cc6c5CCCC6)C4=O)c3CO)cn(C)c2=O)nc1,C[C@@H]1CN(C)CCN1c1ccc(Nc2cc(-c3cc(F)cc(N4CCn5c(cc6c5CCCC6)C4=O)c3CO)cn(C)c2=O)nc1,0.57,O=C1c2cc3c(n2CCN1c1cccc(-c2c[nH]c(=O)c(Nc4ccc(N5CCNCC5)cn4)c2)c1)CCCC3,1,1,1
100097,Tyrosine-protein kinase BTK,"InChI=1S/C35H40FN7O3/c1-22-19-41(11-10-39(22)2)26-8-9-33(37-18-26)38-29-14-24(20-40(3)34(29)45)27-16-25(36)17-31(28(27)21-44)43-13-12-42-30-7-5-4-6-23(30)15-32(42)35(43)46/h8-9,14-18,20,22,44H,4-7,10-13,19,21H2,1-3H3,(H,37,38)/t22-",C[C@H]1CN(c2ccc(Nc3cc(-c4cc(F)cc(N5CCn6c(cc7c6CCCC7)C5=O)c4CO)cn(C)c3=O)nc2)CCN1C,C[C@@H]1CN(c2ccc(Nc3cc(-c4cc(F)cc(N5CCn6c(cc7c6CCCC7)C5=O)c4CO)cn(C)c3=O)nc2)CCN1C,-0.34,O=C1c2cc3c(n2CCN1c1cccc(-c2c[nH]c(=O)c(Nc4ccc(N5CCNCC5)cn4)c2)c1)CCCC3,1,1,1
100097,Tyrosine-protein kinase BTK,"InChI=1S/C37H44N8O4/c1-23-18-42(27-21-49-22-27)9-10-43(23)26-5-6-33(39-17-26)40-30-13-25(19-41(4)35(30)47)28-7-8-38-34(29(28)20-46)45-12-11-44-31(36(45)48)14-24-15-37(2,3)16-32(24)44/h5-8,13-14,17,19,23,27,46H,9-12,15-16,18,20-22H2,1-4H3,(H,39,40)/t23-",C[C@H]1CN(C2COC2)CCN1c1ccc(Nc2cc(-c3ccnc(N4CCn5c(cc6c5CC(C)(C)C6)C4=O)c3CO)cn(C)c2=O)nc1,C[C@@H]1CN(C2COC2)CCN1c1ccc(Nc2cc(-c3ccnc(N4CCn5c(cc6c5CC(C)(C)C6)C4=O)c3CO)cn(C)c2=O)nc1,0.7,O=C1c2cc3c(n2CCN1c1cc(-c2c[nH]c(=O)c(Nc4ccc(N5CCN(C6COC6)CC5)cn4)c2)ccn1)CCC3,1,1,1
