target,held_out,S_delta,Rt_frozen(median/0.45),Rt_exploratory(UQ/0.45),frac|dy|>0.45
BTK,False,0.142,1.34,2.27,0.6
JAK1,True,0.172,1.33,2.49,0.61
ROR-γ,True,0.087,1.67,3.18,0.7
JAK2,True,0.16,1.07,2.23,0.51
IRAK4,True,0.015,1.02,1.86,0.5
JAK3,False,-0.039,0.42,2.01,0.39
hERG,True,-0.007,0.47,0.89,0.19
BACE1,False,0.241,4.0,5.17,0.85
ERK2,True,0.149,3.18,4.46,0.82
PI3Kδ,True,-0.026,0.71,1.99,0.39
TYK2,True,0.021,1.07,2.22,0.51
HDAC6,True,0.237,0.67,2.62,0.43
EGFR,True,0.038,0.82,1.97,0.48
SYK,True,-0.041,0.73,1.56,0.41
