target,development,n,scaffolds,S_delta,spearman,p,q(q14),positive,Rt
BACE1,yes,112,59,0.241,0.53,0.011,0.022,YES,4.0
HDAC6,no,83,53,0.237,0.32,0.0015,0.0035,YES,0.67
JAK1,no,207,119,0.172,0.43,0.0005,0.0017,YES,1.33
JAK2,no,199,117,0.16,0.4,0.0005,0.0017,YES,1.07
ERK2,no,102,64,0.149,0.38,0.0005,0.0017,YES,3.18
BTK,yes,266,114,0.142,0.48,0.001,0.0028,YES,1.34
ROR-γ,no,201,119,0.087,0.28,0.0005,0.0017,YES,1.67
EGFR,no,82,64,0.038,0.17,0.032,0.0498,YES,0.82
TYK2,no,95,51,0.021,0.22,0.063,0.0801,,1.07
IRAK4,no,172,82,0.015,0.22,0.063,0.0801,,1.02
hERG,no,129,95,-0.007,0.09,0.0305,0.0498,,0.47
PI3Kδ,no,98,57,-0.026,0.32,0.3198,0.3444,,0.71
JAK3,yes,139,78,-0.039,0.09,0.1194,0.1393,,0.42
SYK,no,82,52,-0.041,0.13,0.4698,0.4698,,0.73
