target,development,n,scaffolds,S_delta,spearman,p,q(q11),positive,Rt
HDAC6,no,83,53,0.237,0.32,0.0015,0.0033,YES,0.67
JAK1,no,207,119,0.172,0.43,0.0005,0.0014,YES,1.33
JAK2,no,199,117,0.16,0.4,0.0005,0.0014,YES,1.07
ERK2,no,102,64,0.149,0.38,0.0005,0.0014,YES,3.18
ROR-γ,no,201,119,0.087,0.28,0.0005,0.0014,YES,1.67
EGFR,no,82,64,0.038,0.17,0.032,0.0503,,0.82
TYK2,no,95,51,0.021,0.22,0.063,0.077,,1.07
IRAK4,no,172,82,0.015,0.22,0.063,0.077,,1.02
hERG,no,129,95,-0.007,0.09,0.0305,0.0503,,0.47
PI3Kδ,no,98,57,-0.026,0.32,0.3198,0.3518,,0.71
SYK,no,82,52,-0.041,0.13,0.4698,0.4698,,0.73
